month,tenure,mean,median,n
2006-01-01,Freehold,360006.67701404286,250000.0,5412
2006-01-01,Leasehold,258818.9630824373,207000.0,5580
2006-02-01,Freehold,344219.7648496241,250000.0,5320
2006-02-01,Leasehold,248755.968256752,205000.0,5702
2006-03-01,Freehold,349588.6728049499,250000.0,6788
2006-03-01,Leasehold,258491.7410315419,205000.0,7387
2006-04-01,Freehold,366378.32932072226,260000.0,5815
2006-04-01,Leasehold,274356.9794238683,215000.0,6318
2006-05-01,Freehold,359886.2858003313,265000.0,6641
2006-05-01,Leasehold,267256.0215523518,215000.0,6867
2006-06-01,Freehold,365997.8946423994,263000.0,7802
2006-06-01,Leasehold,269647.15822337416,219000.0,8488
2006-07-01,Freehold,386887.59592951107,275000.0,8058
2006-07-01,Leasehold,266290.4913928012,218670.0,8307
2006-08-01,Freehold,378338.96104351897,280000.0,8548
2006-08-01,Leasehold,268369.47658272536,220000.0,8498
2006-09-01,Freehold,386539.98650242435,277000.0,7631
2006-09-01,Leasehold,272471.5193760663,222030.0,8206
2006-10-01,Freehold,362242.96341792657,268000.0,7408
2006-10-01,Leasehold,269648.66933667084,220000.0,7990
2006-11-01,Freehold,365153.0329475834,270000.0,7345
2006-11-01,Leasehold,272202.7529076961,223000.0,8082
2006-12-01,Freehold,375729.1804102135,275000.0,7167
2006-12-01,Leasehold,279622.38712787756,230000.0,8297
2007-01-01,Freehold,398822.5329900225,280000.0,6214
2007-01-01,Leasehold,288947.9425406204,225000.0,6770
2007-02-01,Freehold,387857.19433897134,277500.0,5794
2007-02-01,Leasehold,282117.4409436834,224975.0,6570
2007-03-01,Freehold,390909.3008393462,280000.0,6791
2007-03-01,Leasehold,291113.1589229806,229500.0,7985
2007-04-01,Freehold,407531.8459244533,290000.0,6036
2007-04-01,Leasehold,300048.2269692924,235000.0,6741
2007-05-01,Freehold,394465.7643302418,290000.0,6577
2007-05-01,Leasehold,296761.9227154047,239950.0,7660
2007-06-01,Freehold,429115.8909705592,299950.0,7099
2007-06-01,Leasehold,293141.6845910529,236000.5,8852
2007-07-01,Freehold,451654.0855957768,315000.0,7956
2007-07-01,Leasehold,312038.333776114,247499.0,8281
2007-08-01,Freehold,428840.1849704142,312000.0,8450
2007-08-01,Leasehold,307630.6778947368,247000.0,8550
2007-09-01,Freehold,431289.4974898023,306000.0,6374
2007-09-01,Leasehold,314312.29229949374,249000.0,7506
2007-10-01,Freehold,415135.544219787,308000.0,6479
2007-10-01,Leasehold,300142.85944092827,245000.0,7584
2007-11-01,Freehold,416813.87040052103,307500.0,6142
2007-11-01,Leasehold,294847.17464280763,245000.0,7209
2007-12-01,Freehold,399444.43698060943,300000.0,4332
